principal_id,tokens
c2c6j-722ky-pnurz-sfhtg-p36de-3kjkr-sukce-mihdx-avf5m-k2zmh-3qe,58802.24353
ypz3h-ocfcg-wa3fg-ts7lx-txe3n-7zpsb-rza6r-eyvva-ynx4j-gcegx-pae,80513.84114
6d4b3-dxyei-j3lzc-6vd4v-3jvk4-rr7vj-vfx76-ilajm-qykkr-m22nw-rqe,80513.84114
coewo-jghva-g3frz-vrmbi-ihjrd-fsvec-7ibah-pgmhn-onr5q-4nfjh-kqe,80513.84114
qweni-qpvjh-yjqvt-otpm2-yxcrw-e6leg-7vjas-v2mpu-dht23-yklka-bae,80513.84114
v3lam-ksnmz-ujkke-ql5yz-shx6g-sx6gp-uiood-ojt4z-pz2ue-bm5ns-tae,80513.84114
ou6jv-f7fq4-qyxui-w3b2t-irnog-msfmp-txel5-uvtru-75qhs-kf6pz-vqe,11760.44871
q3wpm-qabll-oaqev-5yuki-wxdze-w4sha-zdsji-6nepo-dr2ug-msjq5-aae,58802.24353
4jbpm-tbzil-hs7ys-ooqla-uqcwc-ytzrk-smcci-nhuqc-7iaob-7moap-7qe,80513.84114
ud4fi-3snnt-2fcdp-zz5km-u5i6d-tf3um-mizoe-2zhht-x52bm-4nta6-cae,80513.84114
bsusy-u3q6j-oxiya-5va2o-iyc2x-zt2cb-lh3xx-r7qj4-qaeii-xgpgy-eqe,11760.44871
5eqwq-vpvqw-3ozsy-uzhh6-vf67o-tpj4s-vi5q7-l6mi4-ihtou-m3li6-rae,38899.94572
kbpzm-ksepg-aa7cb-jwjfh-vskge-ef7j2-umo7n-p4kcu-u6u4p-wh256-5qe,38899.94572
ver3t-k32i6-ggy3q-d2236-qg7be-zwuma-v2mbw-rjfzi-4d4yp-jnqom-5qe,11760.44871
ukiup-tuj6a-atsmi-ccigs-4m72j-uupqi-hypoo-gpl6h-zhngk-xvrc6-7qe,11760.44871
b44xj-wciwi-v5tcp-djy4l-5wims-aqwlv-xc2wh-t7pj3-rpqou-3rqwf-6ae,38899.94572
csaom-qj73o-s7ahs-b3kc5-twrdd-4jwkv-npro4-fsjn6-di274-vdobq-hqe,11760.44871
rle6w-6pnln-dmlsc-25c22-h7w6f-vlygr-ux2mx-bn323-ddimh-tvigm-eqe,58802.24353
hun64-xy5ax-d5chr-6j22t-celhh-fxrms-rsen4-r6727-4rlea-gealb-xae,11760.44871
kiwmn-dbznh-6nqqo-lbmpk-g5v4b-cjcu3-ssd4w-rwwrg-ks4qb-iczj4-2qe,38899.94572
hahre-qu7g6-vczlt-idbnk-xi6mc-qmxbq-igt3g-qzak6-3ofso-3df2v-3ae,80513.84114
u4uhn-dbbz2-aw4gt-4zemk-b5sby-7yoou-3ntho-gcdfu-swifl-pvxqz-dae,11760.44871
s2x42-cyiab-owyaq-wqpwx-w4zh4-cfn3y-swugn-bofuy-znvqy-bfrwc-2ae,11760.44871
uord6-xp22h-6kn5i-4wrjz-yazxa-eukc4-hfgj7-nadxn-jjjrq-ovkwj-fae,11760.44871
wvyd5-ub46t-2mbpw-ismlk-upukh-vmx4u-5vxyd-7qgj7-vpdkz-blogd-lae,11760.44871
b4l7h-hg3qu-f5jk3-n2afj-swmb3-kgkyt-laqor-nqrxn-jdhci-7kpne-eqe,80513.84114
rbl3y-7hcqy-ib3xn-j3ffj-a5lxe-23xp6-hrfqa-xgd22-njojd-647pd-gqe,11760.44871
iv76m-p5w5k-aq6il-fi4ln-dv55p-mndza-fg3dz-vrdp5-jzhhi-e4e4a-2ae,80513.84114
ilvog-gd4ms-5dstj-i47dv-l5t6b-4ei5k-tyfxo-hbafl-krgja-oltxx-xae,80513.84114
nngwa-nfsvc-c4qcj-nmdet-zhmit-5f2x3-iyg6p-p6ftk-n4u6a-34io2-iqe,11760.44871
gyx6i-6zub7-x3p2t-m7tfz-flepy-4owga-pxrbv-x7cer-e6ebr-54uw7-2qe,80513.84114
nnpu5-xs2ih-3hj6v-yon6h-dbp2t-fqsoh-4cdm3-a5uhy-phuuo-u7c7d-7ae,80513.84114
yk5ow-bl2ct-sdahc-mpsja-gthoh-3hdc7-h622a-vvpra-c3sed-vzoj6-kae,33472.04632
tgdj3-3askw-lzpuo-5glj2-xfb7s-ursab-t2zrq-3hrph-q2p5w-xkyps-6ae,80513.84114
s76kq-sayr5-mx7zx-4k67e-gjwem-vo4ek-v4xru-bmb55-vwdkl-2maza-7qe,80513.84114
bo5fy-5d3jw-p5ait-tokxg-qvssz-vqiw2-dm6ta-yf445-722oe-cl23g-yae,11760.44871
56xqg-cwp6f-qpnyo-cbp3o-st2pl-jditm-tzer3-35rtc-thtv2-dohy6-wae,38899.94572
hd77w-cmoi6-lnd5d-g6xbp-uiva7-wygkj-fg27r-e3lzu-rclqs-tt6ju-aqe,80513.84114
cjsri-2u6pc-ijlmk-chjru-cic7c-lqefn-w5n5l-lmq3o-modgj-bwtjb-xae,80513.84114
pjjw5-bb67x-b63hz-6yuih-m45tz-eigqo-q2fzy-ippop-g76ab-ojic6-fqe,11760.44871
rwud6-xkik2-6kh7a-smczv-i4enf-lwbck-m4bil-ooads-qv7pw-vzzuq-7ae,80513.84114
qdhld-cq473-qt6qc-hjx6c-vssum-rkyma-2pfgq-4y5nh-64t42-4l4ux-7ae,58802.24353
wyxcf-5ilgy-3rieb-ozwhx-hduip-4kjiw-zevqx-tvsh6-tpf5e-nejwa-oqe,11760.44871
umr4l-o2ek5-acztv-uh3zi-tz2md-e4jya-kzmhc-uz2pn-lf3sx-urgyo-cae,60611.54333
xab4j-lteig-2sb6p-li2rm-r2xrk-wvn2p-lmg36-6xpcl-zot3n-m4cn2-fae,80513.84114
eeckw-mmbcf-wghdu-ymc52-immeb-spir5-xeoeb-zidei-p3ct6-j4kkz-iae,11760.44871
vxo2i-2o565-jfp42-63kv3-n3wm5-ikjvp-os3qs-4do2h-j2isi-w7q65-pae,11760.44871
q2dt7-mjeuq-yxsq3-g7th4-tyh2q-i6ydr-dvjez-qk2hv-be4dd-yrulw-yae,80513.84114
6xmei-xznhv-z6xkg-diy5r-aogdj-2r2vb-jbw3r-tz62k-5ch2u-edmhe-yqe,80513.84114
iu77h-pahml-huvf7-cbm42-qoolz-ft2v4-oyluw-sqfol-wdj3k-3jcyc-cqe,11760.44871
4q2iw-k6xal-nafdb-bn6l4-qnggl-oblsm-5usgy-yqqxw-tmytf-44cgz-pqe,80513.84114
34gzx-tsozz-nywwj-p2w2a-eo3x5-bpce4-om4rb-6wla6-5ron5-xxygj-dqe,11760.44871
jxeo5-w3dl4-ps2xu-tynvr-uads5-xse4c-6bvbc-e5itj-auyin-vdxvo-aqe,11760.44871
nssug-j4am4-epl23-yfh6z-vpqr7-uveyl-cyhfo-p5fkp-43we6-23t43-cae,80513.84114
wm5i2-f64d3-5hjpq-5mwwb-6dh4q-jjgt7-siwwk-hnjht-dl57p-kgxwc-eae,11760.44871
o26to-gfyt7-d3prm-op6hc-6ia76-blfe7-w7tc4-oznql-hwx7u-dca3t-pqe,80513.84114
yuhgc-kfuhi-qxqph-ioucf-mfkxq-vmqxv-fnqrf-e7vi4-ybcoe-fu7ij-5qe,80513.84114
zxjb2-gtzlo-d4ykp-ezslo-jzsoh-nci3s-rtko4-vqdax-mgsst-s7exg-3ae,38899.94572
niwoi-yhzem-e2ue2-qhhqs-lt7bq-ofkrq-sb3ep-vldd3-u6tzh-zzy46-vqe,11760.44871
5euh5-o63fp-pbg6g-iwkwc-kl6sq-sqmly-xen4n-3pjsn-vvvvj-gsaew-2qe,38899.94572
32qfm-jyegn-cp3ti-faush-zx3xd-t7ltw-vvwvh-sgnh7-rxkx4-izb74-rqe,80513.84114
cod2a-patow-2ievu-wwbwt-j7kvo-wjjks-44ple-psaxv-k74wc-uvsxn-pae,11760.44871
s4tcm-lk3x7-me73a-zgdmd-oeoig-khlso-2gcuu-oeqjk-lnwed-mszbd-tqe,11760.44871
djbe4-3lzoe-nf7oi-4uwb3-frwvj-57e2d-heepd-upohd-ptzs5-v3v3v-oae,33472.04632
utfsx-me4fc-3atz4-rfm5w-vwhrg-dhp6u-wrz7k-cuuqv-wedph-udh6l-lqe,11760.44871
ti2ax-zqhio-fskpd-kkbg4-jmwqn-ya5v5-zswzu-344qp-ymfca-7knyh-2qe,11760.44871
jerxs-6atj5-efzcj-niotj-pts52-mnlqc-e4orb-rmh4e-p76ea-awrxw-zqe,80513.84114
cbzq5-okiog-zdsgo-ml2mt-xpkun-aw4j5-wpxjs-tkkfi-y3n3q-vrhwl-vae,11760.44871
nnnxx-lt7aa-g4jtz-7mz6r-mh3p6-2ofut-6d73j-auqqy-dalyc-sz6zf-xqe,11760.44871
yxwqt-2nhj5-xnm2g-tsoey-5tzk5-x6y3d-66zzm-yjfy4-syfyh-6m2mj-jqe,11760.44871
njfok-3mnbv-fhio3-zgkay-srfjt-6lor5-ahd4j-tgr55-udn5b-nxfil-wqe,11760.44871
bysnt-wdqoe-pjztx-kq6tx-cprca-6sqr7-qmbgt-cr36s-iikzt-aiycf-aae,11760.44871
4i2b2-vl5t6-t4eon-p6btf-5ww4g-n6oz5-tn536-jvwje-qfb5o-2vura-dqe,80513.84114
g4sbr-behdj-obqcp-auuvi-svzu4-qwyfi-czxne-ag24c-krdzk-upg3q-mae,11760.44871
qbwsg-v4x2c-gj4qg-ujzog-kcha3-4k7ah-gmcl4-tuily-kvjo2-b6udu-nae,11760.44871
3b4t4-6nvvz-uhcxv-eivv2-aop4b-vto67-63koi-r23pt-r2lq5-4uct4-aae,38899.94572
avisa-cu4dy-ujaps-adcjg-mjiaq-fflh2-4jqun-4ny6h-77swx-q775w-wqe,11760.44871
q33xx-k2wco-6gzkm-ycz5j-y37tz-hiruc-otbyw-kt6l5-mock2-hjvo3-gae,11760.44871
tkh3u-ii3tc-uvohj-3jr5w-bggdm-csnds-hf2w2-2k2n7-ulggr-vikr5-fqe,11760.44871
bwxzp-byqnj-hmep7-wunti-is5od-gr73p-sj3z7-qpuwe-gdojl-odlid-kae,38899.94572
hocxl-73mi5-46s3l-v65zi-dm6r6-v2mfz-u4jet-qs4vd-bb3ek-uf54u-7qe,11760.44871
saejo-k2szu-lfiz5-6vinu-xox3i-x7cwn-dwlev-7dbez-iasww-ii3vd-qae,38899.94572
z43xy-ux7oc-fs2wl-w4hl6-5jgwl-wzx3a-qt7aa-7dd77-h6wbv-ae6ke-zae,11760.44871
brxe5-q67tg-ff4h6-xqhab-6dt4q-e6clk-467in-inx4m-jkn4n-m43m6-zqe,11760.44871
oo5bf-vdbwe-vcnyc-lv4ww-6bsyv-pv3ec-6eik5-mcara-osmwf-3vq52-rqe,58802.24353
72ki4-37fct-o42rb-gbz76-xgzoo-yjqjr-vomcy-xis7q-em4zh-suxhz-nqe,11760.44871
vkpqy-wck7a-gddu5-vd3yp-7qid6-u6p6p-hvga6-4btkn-bmwna-otw6q-oae,38899.94572
to5nx-halk2-3oc6u-sntom-fuqut-fzcbw-zdfcd-yrxiy-rz54c-ixwv3-eqe,80513.84114
grb3z-wcrdw-lactm-ur7xg-yqeq6-cw222-g6ysc-ydvl4-iosua-egblo-5qe,11760.44871
7dwof-7xtny-qtdjq-j5nut-lmrju-npnfc-iyvo3-ctklz-ag4ot-aspel-3qe,11760.44871
yxrnn-qzy2z-sw4oy-aj2vz-epeit-xkshn-ym7aa-4cfmf-azxr4-5tf22-7qe,11760.44871
xmsxr-kcmau-tsgbh-crod5-svy35-nr4wg-appnd-yaixd-xw3sy-w5j7m-yqe,11760.44871
jkw5p-pm7dj-h5fkf-zi2g2-2blsv-fzhec-dtcqk-c55l2-u6hhu-q5upx-3ae,80513.84114
oy4x3-wmj4w-4xgao-hced7-rikn7-utsd2-u7bjv-iwqpw-znhmf-tj6ef-tae,11760.44871
3ll3a-5oj3x-oo5nx-2cdm3-h5iiv-3z26r-34cq4-u6feb-3pcnz-keb42-6ae,11760.44871
xpviu-nbjmq-4wddk-re5dr-ogqqx-du57o-hqrsm-g7b47-ch224-erntk-7qe,11760.44871
jj6qx-yw7s5-6u5xe-wmkcv-wemq4-fahcl-c3rwe-mk3cr-zwl5j-m7kqt-7ae,11760.44871
iyjkp-6c7nh-s4tzi-4le6d-zodhb-52n7w-dirwn-3dawt-wp65u-4az2z-sae,11760.44871
fwrwo-k4yak-vv3cl-belnq-zkax3-lwdaj-atk6p-wu42a-k6gpw-33btl-uae,80513.84114
phv2g-5ncub-3brbc-q7j5k-xyljm-b6hnd-5nntu-s2xc7-disan-xk2gj-xae,38899.94572
6povd-lbode-cdr6z-g7fdx-w4doq-b3m7o-bfr4i-movlf-wt7uj-cglu4-7qe,80513.84114
nwheu-rkeys-k2t4a-loeo3-nx3e6-lnxsn-fjqcw-2rsrq-xxnoh-7qxre-mqe,11760.44871
fpnl4-zcnhm-7kjwh-zqine-4qc5n-fq6co-5pdr6-kexce-pw46q-ohb7t-dqe,11760.44871
dwcl7-lepqi-mal4r-xyrsj-pqox7-gxgfb-u53mt-urenx-yqa7j-xeklz-2qe,80513.84114
2l6zv-pyddn-dl4ep-d7hk3-cgujh-qgriu-7lxso-b3hih-4a4ny-5zlqv-jqe,11760.44871
wyzpp-zhzbx-heoua-aemtd-b2ruf-ullu4-pd2nb-2vjka-iskfs-kw5kq-qqe,11760.44871
olzcv-lp3ia-e7pzy-ggoxc-4kgjs-2peus-3amir-orwad-n4p53-gc4pa-eae,11760.44871
c7scf-vnzhc-uo3ws-cgzfq-x7dlg-n6b3b-sweey-7n4yj-qe5qt-svgtk-6ae,60611.54333
jr7hj-lswnl-vwkdb-vg4li-ngrck-u3pis-k3ymz-a4ow5-g6k4v-bbef6-gae,11760.44871
bxczk-q7uhy-c3hpm-7abkd-ou2h7-6jswh-urwfy-3ngrr-sy6se-lxle4-qqe,60611.54333
6ru5g-etubc-f4lyk-aiy7r-5n7b5-gttai-pwbtm-b6zyq-76z6g-l5jci-tqe,11760.44871
tgfj5-5hid3-anekp-bs2jf-y57uo-hwose-uv5px-gvitp-qqqew-zjubg-6qe,11760.44871
jzw7p-kgjil-22wpm-fdoxi-4sa4l-2ysxu-vsok2-i4l4v-mt3wx-cp6j7-sqe,80513.84114
hlo5v-y6op7-4bjez-tkenn-s5m77-rncti-zytah-vt2x4-cmfww-p5xsy-kae,11760.44871
voud6-hzgox-czzxi-h3h27-wzesi-gqx6r-velos-olhhz-kc477-lg2yc-qqe,11760.44871
p7unr-4frsk-axobu-ab5zs-aypyb-nsbv6-rgexd-hkojw-smzso-or7km-dae,11760.44871
7seho-uxkpb-bilcf-6pko3-py3ks-vxdms-jmda5-27ecj-3g3yx-tqpn4-xae,11760.44871
iq4gg-gn3ot-2ncme-w2jcm-cobkc-7ba7a-rdjno-2lkzz-rtef3-4ih3u-oae,80513.84114
pe2wi-k47je-v7qhp-2wcas-3oc6t-hiyne-vsssg-mejvk-wkmjc-hcpay-vae,38899.94572
jvj56-horto-seh35-f3y5r-vkall-xtiya-bjx5w-qofnd-kbcun-ifq42-4qe,38899.94572
xw4jd-zjgs4-4kg3s-76huk-5xlms-kic6h-ycvbf-htdm6-f4nyo-x3a7q-eae,38899.94572
22fe3-2u576-kdx62-mtbh5-vg4he-w3l34-xe2zx-wo36x-2co57-hcgby-dqe,38899.94572
rr66u-oo7pn-dcvm3-lmmvb-6nwmi-5o2uf-dkmii-hzyd5-fi2vm-lfgwd-xqe,38899.94572
rqyv3-zgsab-abwvd-c5mi4-g7tyu-nkecf-qie47-6skip-rc366-arx2d-cae,38899.94572
bxfsy-m4bvm-ridzd-qjboa-4ayek-j2hor-7pc43-guwow-b4iq5-eamfz-eae,38899.94572
qencn-vf2mx-4oshg-cm7dw-7h77j-badqa-3w7tw-757ds-5yniz-rzc3n-2ae,38899.94572
cvfq4-rfvxb-y6wau-odpot-le4ro-m3mmf-plewf-5qf25-jphe5-qlxpn-hae,11760.44871
a6b36-kjd5o-nivmn-hzg2h-eh22x-ceqf3-ay6to-jdf4u-g2lzu-miz2g-xqe,58802.24353
5htyh-kx2lh-vkzew-kkviw-nmfin-bcja5-epf2c-tktul-ufsrj-uczdj-oqe,58802.24353
umjr3-2qtpy-j7f4z-7ocbk-bxwrl-vmlaa-64lrw-trlp2-qvqm7-ycldm-gae,58802.24353
owdct-76abv-try5v-67anu-uofw5-ncmlk-cgvd5-upmu5-gmb3r-a7nps-2qe,11760.44871
7qocr-kulrr-lwwjt-os7zw-m6jjm-ltua6-wnfo4-ahhip-jtug6-yq2ab-eae,11760.44871
5hbqs-2hhln-wteuh-fqdon-c2uwu-wxlqh-d5uml-ytujd-5l3ch-wvoga-uqe,11760.44871
hkyfw-cb7xt-jvbez-xddhe-bskuj-q7ebv-owaov-upmex-kxe6y-h4kh7-yae,11760.44871
q7uc3-kzbxp-bb2he-emmxx-gjavr-sy5kn-kesyk-2wkyi-4qvhz-mzvcu-tae,11760.44871
a2uim-7dgcl-c5pkr-ydrmi-p6lcf-be54w-6z6l7-wajno-p4oa5-n7cfy-kae,11760.44871
hvx64-labxs-xkt4e-jc6om-px3ve-ic3o4-24z2r-q6bcq-eqwlj-k5izt-lqe,11760.44871
b4vzv-yulob-zeavm-cklth-cqiiq-k2t6j-2oxgm-o4pic-x3u3g-36tmp-qae,80513.84114
gcx6z-mzvqv-pe3zr-ab7pk-bg3eh-qhwqm-b2xtl-y3zrk-dyoh5-5sqvj-qqe,11760.44871
k2egp-3zow5-7smjd-jzica-hip4g-mr2xk-mfh7f-dmdx3-jlzkh-tcr7k-7ae,11760.44871
oyi6q-75cb6-ak6nx-aycjj-w27lp-cl73v-kyhwi-5qphi-pbuc6-nbafe-5ae,11760.44871
zvfyq-2y7is-lmj5i-6ecee-l4la3-j6wpi-tvku5-yrne5-eiwyk-3zvxv-fqe,11760.44871
6rpic-zjvow-l5omn-23wu6-v7ym3-qzics-52uwi-romgu-iqp46-qks6p-kqe,11760.44871
e5so6-khwum-qxepa-sv2lo-iowb5-l45zy-27m7k-mzory-cihe2-oi53a-kqe,80513.84114
sznjv-iis3s-k6a7q-sjawo-rsxyr-qtcwu-vxcpp-6y6xr-l5djo-tuvo7-5ae,11760.44871
g5bcy-ifeyg-6bdac-oi4ai-j2md6-32mcl-uucwb-w6jsv-ayo6l-nlgsl-dae,11760.44871
a3y27-igbpa-drfuy-mzihv-d5x7d-t56dr-dzctx-psoko-6lruh-ql22m-7ae,11760.44871
l5zp2-xohqv-bayyk-6oezy-h4qie-6uuoc-phlzi-prke6-ivhhj-kjq2z-fqe,80513.84114
aajhd-zmzfr-narqw-uymvw-clxvg-xl2gb-bjsn4-lcd56-a37dg-xj5fu-iae,11760.44871
qgn6h-il5yz-kgb7z-msi4k-puzvx-jaop6-q6c24-zlcll-u44uc-tq2r3-zqe,11760.44871
rp2kj-epmvf-ufrbm-hs3it-dymqe-lnr4x-vrbwl-on4tf-7v6cg-exgbv-rqe,11760.44871
3tx6x-zopok-3bqsy-76gc3-a5poj-srfqh-o6j4y-py6te-tfpbf-qrhnl-xae,11760.44871
2ilh5-wlfgz-i7w77-vkapz-przew-2hd6r-dtugk-ak3ah-ogiro-dypkt-lae,11760.44871
z63aa-7jbug-qigpn-3jhmf-ys4hl-7cjqz-hf37g-jn3fu-tzmq4-74ple-pqe,11760.44871
lpurk-uj6fr-okcbg-cduqw-wo5zc-t7nfg-wig4k-ksifw-ufjj4-mmkxf-kae,58802.24353
rw5ic-l3pi5-vaqfv-adz2k-ixxw3-ywqp6-qrtvm-b4khf-iuaq3-sxvrm-cqe,11760.44871
q6rwv-pddvy-6roer-wjb2o-laoxe-46xpy-5b34e-mzgrf-nkznm-ltqzs-xae,11760.44871
hzqqe-qcnfk-akv62-l2hwx-o4en4-txg2a-glsdt-pzbqg-rwasl-2yxz7-2qe,11760.44871
ds4vf-5svn4-hi3lq-bbbrz-5zu3f-omppz-xx55x-ryy7u-p47vt-yfnmr-bqe,11760.44871
uvwjj-q4mmm-thvxd-5juha-xl2nj-wg6ef-qrvrj-ebwko-pz6jk-ytmaw-aae,11760.44871
b4tnn-26go4-6kv6g-uth64-viuup-i5euf-ipxcs-z2zuv-eggv5-zfpfh-6qe,11760.44871
anefi-5xejf-vv77f-5naoh-jjxnl-geyfa-hfbx7-sgjlw-qfxrj-gdqx3-qae,11760.44871
s67d7-elvp2-dssap-cmtpm-4czvf-gsnf3-6vbmo-xsgkz-ocqjs-tngfu-3ae,11760.44871
6zg6q-e6ggs-puuzs-q53sf-jr6dw-jmluh-iyzpd-lbzud-vf2a3-22t3v-pae,11760.44871
jwsam-6vjx3-nyxqf-zl25b-et3m6-gq4dy-4rrsf-7i34r-o5plg-tjnsy-5qe,11760.44871
al26x-zgwiw-eoabq-lpxob-gbbfl-6rvt2-jrdeh-4xjqt-cx4nh-djkcz-aae,11760.44871
j5xig-k2upz-bzod4-5v3lv-irjo7-og7a2-2x7lm-ex2cm-gewzr-usviz-iqe,11760.44871
lnolp-yhya7-j75i6-jsusg-plllt-rghzk-3puhw-3k2ua-wheb5-owp7d-kae,11760.44871
boe2s-j3z5m-vdjbw-njgwd-nbu22-dnsub-ra2q3-mxh6r-5r6l3-gtax3-3qe,11760.44871
llkrm-qekua-zyzn2-35upx-dq7kb-lf2nr-kgqyo-sg5om-sawyi-blb3p-iae,11760.44871
jutvo-b4kxh-cqzas-pgktk-atnqg-r2jmy-rkkpr-xpjdg-xosyr-3a3m2-jqe,80513.84114
uarbr-phr26-zfyvf-unqt5-akkpv-enma7-tlp34-md3e4-5seem-56ha5-kqe,11760.44871
4ahfo-mxklt-tuq6v-cyf6y-yi2jr-iusnh-q2fej-a3art-ccyy6-6pjuj-tqe,11760.44871
owsqy-p7evf-yo2ye-banu6-fywln-y6hxp-vgtzm-5on4i-6kce3-7gr63-mqe,11760.44871
yzmoe-xsngv-zyhvi-qqeqe-wikz6-zzg33-z3xob-jspqa-3tg6c-jivu4-iae,11760.44871
vdywl-ekpss-6chrn-c6wwv-745vt-ukd62-j5xun-3kiav-kqv4j-6bvrf-hqe,11760.44871
fol2d-x7ciz-j2wzd-fq3wr-vysaj-zyxkr-3otp7-3657a-apbo5-hyp2u-5ae,11760.44871
oylir-wgqie-5bu43-5hegd-eijk4-wldpn-incho-kzyjx-2vcyc-z7cht-rae,11760.44871
grezh-o7bpw-6ak4x-o2yem-bpxhd-pvte5-j5qh2-kbyw2-f4qtm-d6tsz-3qe,11760.44871
imvrz-ljh7j-h5fhs-dwzdk-tlfvb-vyt4x-xblkq-beziz-mbnie-qkuop-bae,60611.54333
cp7ax-2fech-nbsya-266vi-t7gu3-mtrj5-uftph-h4tca-lxh3z-larum-dae,11760.44871
